Bandas,P_RioNit_A,P_RioNit_B,P_RioNit_C,P_RioNit_D,Jard_Guan_Troia,Galeao_A,Galeao_B,Pq_Cacula,Pq_Sarapui,portuguesa,lagoa_tjk,leblon_ipa,copa,meio_Sul_C,meio_Sul_B,meio_Sul_A,charitas,botafogo,fla_gloria,lagoa_rodFreitas,lagoa_piratininga,gamacho,meio,cdd_univ1,cdd_univ2,cdd_univ3,meio2,marAbertoLeste_24,penha,saoGoncalo,stCristo_Gamboa
"418,416","0,0063","0,0061","0,0073","0,007","0,0058","0,007","0,01","0,0283","0,019","0,0194","0,0146","0,0141","0,01354145036","0,0116","0,0128","0,0087","0,01383990906","0,006","0,006647621989","0,0116","0,0303","0,0143","0,0063","0,0165","0,0204","0,0078","0,0103","0,0296","0,0052","0,0149","0,0105"
"424,043","0,0036","0,0033","0,0042","0,0043","0,0038","0,0045","0,0072","0,0263","0,01713907048","0,0168","0,0123","0,0109","0,01034940616","0,0081","0,0093","0,0057","0,0104","0,004","0,0047","0,0087","0,0269","0,0123","0,0033471614","0,014","0,0181","0,0063","0,0073","0,0274","0,0035","0,0115","0,0076"
"429,457","0,0047","0,0043","0,0049","0,0049","0,0037","0,0043","0,0068","0,0255","0,0163","0,0159","0,01168118081","0,0112","0,0112","0,0093","0,01","0,0069","0,01166774486","0,0051","0,0053","0,0096","0,0273","0,0108","0,004444677349","0,0152","0,0189","0,0064","0,0078","0,0275","0,0032","0,012","0,0082"
"434,686","0,0024","0,0019","0,002743293799","0,0027","0,0021","0,0026","0,0043","0,023","0,0139","0,0138","0,009466090426","0,0085","0,0085","0,0071","0,0079","0,0049","0,0091","0,003","0,0034","0,0072","0,0247","0,0094","0,0021","0,0124","0,0171","0,0057","0,0057","0,0259","0,0018","0,0098","0,0058"
"439,757","0,0023","0,0019","0,0024","0,0027","0,0017","0,002","0,0039","0,022","0,0122","0,0126","0,008","0,008","0,008","0,0064","0,0076","0,0046","0,0085","0,0035","0,0034","0,007","0,0239","0,0082","0,0018","0,0124","0,016","0,0047","0,0054","0,0245","0,0013","0,0095","0,0056"
"444,699","0,0013","0,0012","0,0016","0,0016","0,0004","0,0004","0,0018","0,0211","0,0105","0,0109","0,006635661017","0,0067","0,0065","0,0049","0,0056","0,0032","0,0069","0,0025","0,0022","0,0056","0,0222","0,0061","0,0005469108023","0,0114","0,0152","0,0035","0,0043","0,0225",0,"0,0076","0,0044"
"449,539","0,0004","0,0004","0,0009","0,001","0,0001","0,0006","0,0015","0,0206","0,0106","0,011","0,007778243601","0,0059","0,0056","0,0039","0,0049","0,0024","0,0059","0,002","0,0018","0,0052","0,0211","0,006",0,"0,0114","0,0162","0,0039","0,0036","0,0221",0,"0,0074","0,0037"
"454,306","0,0015","0,0009","0,0015","0,0014","0,0007","0,0014","0,0016","0,0211","0,0111","0,0114","0,008256376929","0,0061","0,0061","0,0042","0,0053","0,0033","0,0064","0,0025","0,0022","0,0053","0,0212","0,0069","0,0007","0,0122","0,0172","0,005","0,004","0,0221","0,0005","0,0076","0,0042"
"459,031","0,0009","0,0002","0,0005","0,0007","0,0003","0,0004","0,0009","0,0196","0,0099","0,0109","0,0071","0,0052","0,0051","0,0034","0,0043","0,0027","0,0056","0,0019","0,0013","0,0048","0,0202","0,0056",0,"0,0113","0,0162","0,0042","0,0033","0,0214",0,"0,0066","0,0035"
"463,73","0,0013","0,0007","0,0012","0,001","0,0007","0,0009","0,001","0,0196","0,0102","0,0117","0,007157164519","0,0057","0,0054","0,0038","0,0047","0,0031","0,006","0,0025","0,002","0,0053","0,0206","0,0056","0,0003","0,0123","0,0179","0,0047","0,004","0,0214","0,0004","0,0071","0,0041"
"468,411","0,0012","0,0007","0,0011","0,001","0,0006","0,0002","0,0007","0,0178","0,0088","0,0109","0,006042998282","0,0056","0,0053","0,0035","0,0044","0,0028","0,0057","0,0025","0,0017","0,0051","0,0205","0,0049","0,0005","0,0118","0,0176","0,0041","0,0037","0,0209",0,"0,0067","0,0038"
"473,08",0,0,0,0,0,0,0,"0,0162","0,007","0,0091","0,0045","0,0041","0,0037","0,0021","0,0033","0,0014","0,0046","0,0015","0,0007","0,0037","0,0187","0,0034",0,"0,0101","0,0166","0,0034","0,0024","0,0193",0,"0,0054","0,0024"
"477,744",0,0,0,0,0,0,0,"0,0151","0,0064","0,009","0,004","0,0037","0,0033","0,0016","0,0028","0,0012","0,0038","0,0012","0,0004","0,0033","0,0181","0,0027",0,"0,0096","0,0168","0,0027","0,0021","0,0187",0,"0,0051","0,002"
"482,411","0,0012","0,0008","0,0011","0,0014","0,0004","0,0001",0,"0,0162","0,0077","0,0106","0,0054","0,0054","0,0048","0,0029","0,0042","0,0025","0,0052","0,003","0,0019","0,005","0,0194","0,0045","0,0005","0,0114","0,0189","0,0045","0,0038","0,0199",0,"0,0066","0,0039"
"487,087","0,0023","0,0019","0,0022","0,0023","0,0013","0,0006","0,0008","0,0161","0,0075","0,011","0,0053","0,0061","0,0057","0,0037","0,0052","0,0038","0,0063","0,004","0,0028","0,0055","0,0204","0,0049","0,0015","0,0123","0,0195","0,0053","0,0043","0,0212","0,0004","0,0075","0,0044"
"491,78","0,001","0,0002","0,001","0,0009",0,0,0,"0,0145","0,0056","0,0091","0,0039","0,0047","0,0041","0,0023","0,004","0,002","0,0048","0,0026","0,0014","0,004","0,0187","0,003","0,0001","0,0106","0,0186","0,0036","0,003","0,0191",0,"0,0062","0,0031"
"496,497","0,0013","0,0006","0,0013","0,0013","0,0005",0,0,"0,0139","0,0056","0,009953854277","0,0041","0,005","0,0042","0,002","0,004","0,0025","0,0047","0,0031","0,0018","0,0042","0,0186","0,0034","0,0004","0,0112","0,0193","0,0046","0,0034","0,0184",0,"0,0066","0,0035"
"501,243","0,003","0,0022","0,0026","0,0026","0,0014","0,0005","0,0003","0,0141","0,0062","0,0112","0,0047","0,0061","0,0054","0,0033","0,0053","0,0042","0,0062","0,0047","0,0034","0,0052","0,0203","0,0046","0,001651471836","0,0128","0,0212","0,0059","0,0048","0,0191","0,0001","0,008","0,0048"
